Code,Site,Species,Lat (°N),Lon (°E),Elev. (m),Series,First year,Last year,≥10 trees from,≥10 trees to,Usable years,Cluster,NOAA study
japa012,Teshio,Picea glehnii (Fr. Schmidt) Mast.,44.95,142.12,300,39,1500,1991,1704,1990,287,Hokkaido,15172
japa013,Moshiri,Picea glehnii (Fr. Schmidt) Mast.,44.35,142.18,320,48,1575,1999,1775,1999,225,Hokkaido,15208
japa011,Shiretoko,Picea glehnii (Fr. Schmidt) Mast.,44.02,143.83,200,58,1693,2003,1749,2003,255,Hokkaido,12670
japa010,Mount Onnebetsu,Picea glehnii (Fr. Schmidt) Mast.,43.99,145.01,,52,1693,2003,1749,2003,255,Hokkaido,12669
japa008,"Mount Asahidake, Hokkaido",Picea glehnii (Fr. Schmidt) Mast.,43.77,142.55,1350,34,1532,1997,1669,1997,329,Hokkaido,3060
japa014,Tokachi,Picea glehnii (Fr. Schmidt) Mast.,43.5,143.2,880,117,1487,1997,1567,1997,431,Hokkaido,15209
japa015,Onnebetsu,Picea glehnii (Fr. Schmidt) Mast.,43.22,145.47,69,51,1418,1998,1592,1998,407,Hokkaido,15210
japa016,Senjo,Tsuga diversifolia (Maxim.) Mast.,35.73,138.22,2200,49,1540,2001,1646,2001,356,Honshu,15211
japa019,Omogo,Chamaecyparis obtusa (Sieb. & Zucc.) Endl.,33.73,133.12,,66,1600,2001,1717,2001,285,Setouchi/Shikoku,15214
japa017,Yakushima A,Cryptomeria japonica (Thunb. ex L.f.) D. Don,30.37,130.53,1300,99,982,2002,1291,2002,689,Yakushima,15212
YAKU-M,"Yakushima (merged: japa017, japa018, japa020)",Cryptomeria japonica (Thunb. ex L.f.) D. Don,30.34,130.49,,181,1,2005,644,2005,1362,Yakushima,
japa018,Yakushima C,Cryptomeria japonica (Thunb. ex L.f.) D. Don,30.33,130.45,1100,36,969,2005,1654,2005,352,Yakushima,15213
japa020,Yakushima,Cryptomeria japonica (Thunb. ex L.f.) D. Don,30.33,130.5,,46,1,1999,644,1809,1166,Yakushima,15215
japa1,Miyajima  Hiroshima Bay,Pinus densiflora Siebold & Zucc.,34.3,132.3,50,7,1881,1987,,,,,3659
