Year,Segment,M,S,Mean prior PGA (gal),z_array,p (one-sided),A_95 (amplitude),Stand-mean loss bound (%),Spread across variants (% pts),Sites
1707,NK-C,8.6,3,129,-0.88,0.81,0.092,9.2,16.5,"SYN017,SYN022,SYN056"
1854,NK-D,8.4,12,150,2.2,0.01,0.219,21.9,14.2,"SYN003,SYN004,SYN013,SYN014,SYN022,SYN026,SYN035,SYN044,SYN048,SYN055,SYN058,SYN059"
1854,NK-B,8.4,11,155,2.33,0.01,0.242,24.2,13.6,"SYN014,SYN016,SYN017,SYN027,SYN028,SYN038,SYN039,SYN048,SYN049,SYN056,SYN058"
1891,NOBI,8.0,25,226,1.8,0.04,0.138,13.8,17.3,"SYN000,SYN002,SYN003,SYN004,SYN011,SYN013,SYN014,SYN016,SYN017,SYN022,SYN026,SYN027,SYN028,SYN035,SYN038,SYN039,SYN043,SYN044,SYN046,SYN048,SYN049,SYN054,SYN055,SYN058,SYN059"
1896,JT-N,8.3,4,309,2.82,0.0,0.414,41.4,3.7,"SYN008,SYN018,SYN019,SYN029"
1923,SAGAMI,7.9,9,108,1.35,0.09,0.198,19.8,13.4,"SYN004,SYN011,SYN013,SYN022,SYN026,SYN044,SYN048,SYN055,SYN059"
1933,JT-N,8.1,5,343,3.62,0.0,0.428,42.8,3.2,"SYN008,SYN018,SYN019,SYN029,SYN030"
1944,NK-C,7.9,15,111,-0.51,0.69,0.059,5.9,22.6,"SYN004,SYN005,SYN012,SYN014,SYN016,SYN017,SYN026,SYN027,SYN035,SYN038,SYN044,SYN048,SYN049,SYN056,SYN058"
1946,NK-B,8.0,13,147,-3.03,1.0,0.0,0.0,0.0,"SYN005,SYN006,SYN012,SYN014,SYN016,SYN017,SYN027,SYN028,SYN038,SYN039,SYN049,SYN056,SYN058"
2011,JT-M,9.0,6,381,-2.01,0.98,0.0,0.0,0.0,"SYN008,SYN011,SYN019,SYN022,SYN030,SYN055"
2024,NOTO,7.6,20,265,1.94,0.03,0.162,16.2,9.2,"SYN000,SYN002,SYN003,SYN010,SYN011,SYN013,SYN022,SYN024,SYN025,SYN026,SYN032,SYN033,SYN035,SYN036,SYN043,SYN044,SYN046,SYN054,SYN055,SYN059"
